Date,T2M,RH2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2022-1,10.98,50.44,23.87,1.9,0.3,3.61
2022-2,13.19,49.44,26.4,4.04,0.8,4.37
2022-3,11.24,64.75,27.8,1.97,3.1,4.97
2022-4,13.98,62.56,27.9,2.37,3.46,6.67
2022-5,22.01,43.88,36.84,7.22,0.29,7.53
2022-6,25.77,40.69,41.05,13.15,0.33,7.42
2022-7,31.87,24.75,43.14,15.46,0.23,7.47
2022-8,30.33,27.75,43.26,16.62,0.15,6.85
2022-9,24.02,46.94,39.94,11.99,0.64,5.61
2022-10,21.86,39.44,32.87,10.62,0.86,4.53
2022-11,17.09,36.75,28.62,5.65,0.09,3.96
2022-12,12.65,63.38,22.9,5.35,2.96,2.82
2023-1,8.935,60.29,21.26,-1.87,0.45,3.71
2023-2,9.89,59.31,23.05,0.77,2.42,3.64
2023-3,16.67,49.23,31.28,4.48,0.14,6.07
2023-4,20.15,41.64,36.9,7.65,0.32,7.05
2023-5,19.34,49.94,35.57,9.18,1.61,6.91
2023-6,25.34,44.64,41.89,13.29,0.25,7.58
2023-7,30.98,25.43,44.4,17.76,0.05,7.90
2023-8,31.78,23.10,45.48,17.4,0.08,7.10
2023-9,24.07,41.99,36.37,13.34,0.19,6.10
2023-10,21.33,42.43,36.41,10.57,1.57,4.71
2023-11,15.85,48.68,28.82,5.52,0.07,4.07
2023-12,12.42,42.05,27.11,2.76,0.36,3.42
